t,B_L,B_M,B_N,Vn_i,Vn_e,Vn_he
2019-01-27 12:15:10.895,21.636757,-8.197391,-6.1376004,-3.7762876,2.6154044,
2019-01-27 12:15:10.958,21.743206,-7.4219875,-6.032689,-7.031096,-1.4241561,
2019-01-27 12:15:11.020,21.973793,-7.0271807,-6.020638,-26.448645,-13.08979,
2019-01-27 12:15:11.083,22.175173,-6.279424,-5.4872665,-23.943577,-11.825558,
2019-01-27 12:15:11.145,22.199377,-5.566888,-5.086564,-15.600095,-10.335698,
2019-01-27 12:15:11.208,21.900307,-5.101456,-4.913626,-17.505188,-11.01429,
2019-01-27 12:15:11.270,21.918491,-4.8194337,-5.107215,-34.24434,-20.77053,
2019-01-27 12:15:11.333,21.794008,-4.1838646,-5.08913,-37.527283,-32.39726,
2019-01-27 12:15:11.395,21.658085,-3.3473566,-4.5524926,-28.243668,-14.402614,
2019-01-27 12:15:11.458,21.234356,-3.3170784,-4.0102944,-10.313761,-15.3581505,
2019-01-27 12:15:11.520,20.500454,-3.3846424,-3.5151346,-10.254835,4.602134,
2019-01-27 12:15:11.583,19.563856,-3.4656096,-3.1667366,-6.703735,7.5106306,
2019-01-27 12:15:11.645,17.920504,-2.992069,-2.445742,19.235752,14.306004,
2019-01-27 12:15:11.708,16.38621,-2.6281266,-2.343983,38.57905,32.06053,
2019-01-27 12:15:11.770,15.543265,-2.757974,-2.4212928,34.19867,44.061214,
2019-01-27 12:15:11.833,14.925292,-2.7932587,-2.060573,0.94640696,17.865091,
2019-01-27 12:15:11.895,14.584387,-2.5588772,-1.8835626,-1.732498,1.8003217,
2019-01-27 12:15:11.958,14.570527,-2.24422,-1.7253003,19.407696,16.07912,
2019-01-27 12:15:12.020,14.274611,-1.7221165,-1.2859652,34.33919,12.59309,
2019-01-27 12:15:12.083,13.363964,-1.8216499,-1.3753278,8.349698,17.33252,
2019-01-27 12:15:12.145,12.672741,-2.2099035,-1.3556885,-7.6242867,18.0155,
2019-01-27 12:15:12.208,12.090178,-2.1961484,-1.2399623,15.236105,16.48895,
2019-01-27 12:15:12.270,11.644563,-1.783938,-1.4027579,31.376266,23.313055,
2019-01-27 12:15:12.333,11.377047,-1.5111437,-1.4260036,33.585938,43.288517,
2019-01-27 12:15:12.395,11.297101,-1.9709206,-1.6197369,27.903412,31.033525,
2019-01-27 12:15:12.458,10.852679,-2.459519,-1.874256,48.424267,33.884583,
2019-01-27 12:15:12.520,10.382299,-2.3340452,-1.7556319,73.584656,100.74071,
2019-01-27 12:15:12.583,10.099023,-2.5499723,-2.246472,81.49763,141.3074,
2019-01-27 12:15:12.645,10.343875,-2.8922904,-2.1020248,93.708885,121.30073,
2019-01-27 12:15:12.708,10.447787,-2.8030412,-1.2831835,1.4215845,18.817673,
2019-01-27 12:15:12.770,10.386252,-3.0658014,-1.4012947,-67.314705,7.332725,
2019-01-27 12:15:12.833,10.412354,-3.5375426,-2.0728974,-40.16123,-18.089363,
2019-01-27 12:15:12.895,10.241395,-3.7671194,-2.2680628,-25.235403,-32.4186,
2019-01-27 12:15:12.958,9.760682,-4.265921,-1.9895332,-10.985956,-28.56523,
2019-01-27 12:15:13.020,9.599306,-4.7458844,-2.487115,-31.422255,-13.577336,
2019-01-27 12:15:13.083,9.467774,-5.4482317,-2.541606,-33.48356,-11.192224,
2019-01-27 12:15:13.145,9.114657,-6.0170283,-2.1911592,-32.227158,-15.409313,
